distance,Place of interest,Place address,BiciMAD station,Station location
3.6203917451140315,Parque de Fuentelarreina,CALLE ROSALIA DE CASTRO 80,261 - Facultad Derecho,Avenida Complutense nº 23
3.7303139105810756,Parque de Gabriela Mistral,CALLE ROSALIA DE CASTRO 69,261 - Facultad Derecho,Avenida Complutense nº 23
3.005215253686457,Parque de Isabel Clara Eugenia,CALLE MAR CASPIO 4,254 - Pío XII,Avenida Pío XII nº 3
0.2781539498802071,Parque de Juan XXIII,PASEO JUAN XXIII 21,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1
3.975327806926578,Parque de Las Cruces,AVENIDA POBLADOS 74,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
1.833489052097746,Parque de Malmoe,CALLE MALMOE 2,221 - Pavones,Calle Hacienda de Pavones nº 342
1.89751678346261,Parque de Manoteras,CALLE BACARES 22,252 - Chamartín,Calle Rodríguez Jaén nº 40
3.9498726787197542,Parque de Pan Bendito,AVENIDA POBLADOS 35,224 - Caramuel,Calle Caramuel nº 51
3.4337771862452366,Parque de Peñagrande,CALLE LEOPOLDO ALAS CLARIN 53 c/v C/ Doctor Reinosa,261 - Facultad Derecho,Avenida Complutense nº 23
1.6029003434388143,Parque de Pinar de Barajas,AUTOVIA A-2 700,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
4.649798625627156,Parque de Plata y Castañar,GLORIETA MIRADOR DEL SUR 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129
1.791974835598728,Parque de Pradolongo,AVENIDA RAFAELA YBARRA 85,213 - Glorieta de Cádiz,Calle Antonio López nº 129
4.147067087385029,Parque de Rafael Finat,CALLE VIDAUBA 4,224 - Caramuel,Calle Caramuel nº 51
5.1164557331390155,Parque de Salvador Allende,CALLE SALVADOR ALLENDE 3,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
0.9099066785791398,Parque de San Isidro,PASEO ERMITA DEL SANTO 74 c/v Pso. Quince de Mayo,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
1.8638753883218029,Parque de Santa Ana,CALLE SAN CUGAT DEL VALLES 4,217 - Pedro Rico,Calle Pedro Rico nº 4
3.142257303018568,Parque de Villa Rosa-Paco Caño,CALLE ACONCAGUA 2,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
1.3551875818522336,Parque de la Alcazaba,CALLE RIBADAVIA 45,207 - Remonta,Calle Azucenas nº 1
1.2453638889294014,Parque de la Almudena,CALLE NICOLAS SALMERON 4,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
4.55528899721118,Parque de la Amistad,CALLE SANTA PETRONILA 21,235 - Embajadores 191,Calle Sodio nº 1B
0.5964717738399465,Parque de la Bombilla,AVENIDA VALLADOLID 4,112 - Paseo de Moret,Paseo de Moret nº 11
0.1908422723378197,Parque de la Casa de Campo,PASEO PUERTA DEL ANGEL 1,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4
1.9852338885608192,Parque de la Cuña Verde de Latina,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,224 - Caramuel,Calle Caramuel nº 51
1.3991028678425634,Parque de la Cuña Verde de O´Donnell,CALLE FUENTE CARRANTONA 61,221 - Pavones,Calle Hacienda de Pavones nº 342
4.984779278396966,Parque de la Dehesa Boyal,CALLE BURJASOT 1 A,235 - Embajadores 191,Calle Sodio nº 1B
3.6482090401230467,Parque de la Gavia,AVENIDA MAYORAZGO 26,221 - Pavones,Calle Hacienda de Pavones nº 342
1.8362238145736596,Parque de la Maceta,AVENIDA DAROCA 301,221 - Pavones,Calle Hacienda de Pavones nº 342
1.1358506276706093,Parque de la Supermanzana,CALLE SANGENJO 27,217 - Pedro Rico,Calle Pedro Rico nº 4
0.43021156788080117,Parque de la Ventilla,CALLE VIA LIMITE 51,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
2.4145359184350084,Parque de la Vicalvarada,CALLE VILLABLANCA 1,221 - Pavones,Calle Hacienda de Pavones nº 342
3.075092688856239,Parque de la Volatería,AVENIDA POBLADOS 110,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
